name,title,expertise_topics
Robert Rosner,William E. Wrather Distinguished Service Professor,"science,leadership,education,social impact,wellness"
Monika Piazzesi,"Joan Kenney Professor of Economics, Senior Fellow at the Stanford Institute for Economic Policy Research and Professor, by courtesy, of Finance at the Graduate School of Business","AI,social impact,business,education,sports"
Anita C. Benoit,Assistant Professor,"wellness,social impact,healthcare,lifestyle,culture"
Pascal Gibert,"Chair, EMEA","leadership,business,AI,arts,innovation"
Jesse Eller,Principal,"healthcare,wellness,leadership,business,lifestyle"
Scott Sarlin,National Intelligence Fellow,"AI,leadership,social impact,innovation,technology"
Anna Aizer,Professor at Brown University,"social impact,education,healthcare,wellness,AI"
Yang Huang,,"AI,science,innovation,technology,arts"
Zulfiqar Bhutta,,"healthcare,wellness,education,social impact,leadership"
Nathan Cogswell,"Research Associate, International Climate Action","leadership,social impact,AI,technology,innovation"
Bali Kaur Sodhi,"Lead Economist, Economic Consulting, Asia","business,technology,social impact,innovation,education"
Nimrod Nehushtan,"Executive Vice President, Business Development & Strategy","leadership,business,innovation,AI,technology"
Bruce Forbes,Visiting Arctic Fellow,"social impact,lifestyle,wellness,leadership,science"
Guangyue Cao,Data Scientist,"social impact,lifestyle,education,technology,science"
Yahya Daraaoui,Managing Director & Senior Partner at Boston Consulting Group | Head of BCG Transform & Turnaround in France,"business,leadership,innovation,technology,healthcare"
Andreea-Ioana Deac,"PhD Student, Mila / Université de Montréal","AI,technology,science,education,innovation"
Michael Birnbaum,Associate Professor of Biological Engineering,"technology,innovation,science,AI,wellness"
Liz Arjun,Principal,"healthcare,wellness,leadership,social impact,education"
Khalid Osman,"Assistant Professor of Civil and Environmental Engineering and Center Fellow, by courtesy, at the Woods Institute for the Environment","social impact,education,technology,leadership,wellness"
Jon Kaspers,"Senior Client Partner, Global Industrial Markets","business,leadership,innovation,social impact,entertainment"
Kelly Levin,"Chief of Science, Data & Systems Change","science,technology,leadership,social impact,AI"
Timo Aila,Senior Distinguished Research Scientist,"AI,arts,technology,education,leadership"
John C. Austin,"Nonresident Senior Fellow, Brookings Institution","social impact,leadership,wellness,education,innovation"
Tony Cai,"Daniel H. Silberberg Professor, Professor of Statistics and Data Science","AI,science,lifestyle,education,wellness"
Ryan Powell,Partnership Director,"leadership,business,education,innovation,AI"
Lidia López,Ops & HR Manager,"leadership,business,wellness,education,innovation"
Carsten Kroehl,"Senior Client Partner, Financial Services","business,leadership,innovation,technology,education"
Christina Montgomery,Vice President and Chief Privacy & Trust Officer,"leadership,AI,business,technology,healthcare"
Filipe R. Campante,Bloomberg Distinguished Professor at Johns Hopkins University,"social impact,business,innovation,culture,education"
Jean-François Houde,Professor of Industrial Organization at the University of Wisconsin-Madison,"innovation,business,social impact,lifestyle,technology"
Euisik Yoon,"Professor, Electrical Engineering & Computer Science","science,technology,AI,education,innovation"
Charles F. Manski,"Research Associate, Professor","education,healthcare,social impact,lifestyle,leadership"
Oscar Dadfar,Research Engineer at Adobe,"arts,AI,education,technology,innovation"
Xiaodong Liu,Senior Principal Researcher,"AI,leadership,education,technology,arts"
Brandon Wetzel,,"technology,education,AI,innovation,arts"
Tian Gao,Vice President and Chief of Staff,"leadership,business,AI,innovation,education"
Anwesha Choudhury,Professor,"education,technology,leadership,business,wellness"
Amy D'Amato,Board Affairs Coordinator,"leadership,AI,education,entertainment,healthcare"
Aaron Pezzullo,"Research Associate, International Economics","social impact,innovation,business,technology,AI"
Allison Dormanesh,Researcher,"healthcare,wellness,technology,lifestyle,innovation"
Stephen Krupin,Adjunct Lecturer in Public Policy,"leadership,education,arts,entertainment,business"
Desheng Wu,Distinguished Professor,"education,science,leadership,social impact,sports"
Noam Slonim,"Distinguished Engineer, Language Models Utilization","AI,technology,education,science,innovation"
David P. Fidler,Senior Fellow for Global Health,"healthcare,wellness,leadership,social impact,technology"
Jordana Williams,Chief of Staff to the Executive Office,"leadership,healthcare,wellness,business,innovation"
Aleh Tsyvinski,Professor at Yale University,"social impact,healthcare,wellness,lifestyle,innovation"
Amy Gennarini,Risk Technology Leader,"technology,leadership,innovation,AI,arts"
Maria Sol Rosito,Postdoctoral Research Fellow in Biostatistics,"AI,science,healthcare,technology,sports"
Julio Castillo,Director of Administrative Services,"healthcare,leadership,wellness,education,lifestyle"
Ella Bradford,PhD Candidate,"science,education,wellness,leadership,AI"
Peter Persampieri,Fund Controller,"business,leadership,innovation,education,arts"
Claire Cormier Thielke,"Global Head – Product Development, Prologis","innovation,leadership,AI,business,technology"
Christine Kuppens,Principal,"leadership,education,arts,business,sports"
Megan Christofferson,Department Fellowship Manager,"leadership,education,healthcare,science,wellness"
Gabriel Chiu,Postdoc Fellow,"culture,business,leadership,lifestyle,innovation"
Jaeheon Yi,Software Engineer,"AI,technology,innovation,education,arts"
Cathy Gao,,"innovation,AI,business,arts,technology"
Jonathan Rodgers,,"business,leadership,arts,innovation,entertainment"
Reiko Nitta,"Instructor, Professor in East Asian Studies","education,leadership,culture,arts,technology"
Zlatana Alibegovic,"Senior Director, Stakeholder Engagement and Marketing","leadership,business,innovation,social impact,entertainment"
Mara L San Antonio-Gaddy,"Director, Division of HIV and Hepatitis Health Care","healthcare,social impact,innovation,AI,business"
Paul Gruenwald,Global Chief Economist,"leadership,social impact,business,education,AI"
Christopher Williams,Arthur Andersen Professor of Accounting,"business,leadership,social impact,entertainment,education"
Eoin O’Mahony,"Partner, Data Science at Lightspeed Venture Partners","AI,technology,innovation,business,science"
Deven McGraw,Lead for Data Stewardship and Data Sharing,"healthcare,leadership,wellness,technology,innovation"
Loralee Wick,"Vice President, National Finance Sales","business,leadership,innovation,education,AI"
Sue Grinnell,"Director, Population Health Innovation Lab (PHIL)","healthcare,wellness,innovation,leadership,education"
Joerg Ohmstedt,Associate Partner,"leadership,business,innovation,technology,education"
Kimberley Ng,Associate,"arts,technology,education,entertainment,healthcare"
Mike Olson,Chief Operating Officer,"leadership,business,education,innovation,technology"
Amy Sweeney,Chief Information Officer,"leadership,technology,innovation,AI,business"
Daniel Weinstein,"Associate, Health Law","healthcare,wellness,lifestyle,business,innovation"
Harrison Alch,,"leadership,innovation,technology,arts,education"
Donald Mitchell,"Sr. Director, Academic Application Services, Technology & Digital Solutions","technology,leadership,innovation,education,business"
Evelyne Viegas,Technical Advisor - Research Explorations,"AI,technology,innovation,education,arts"
Katie Callero,Graduate Student and Dairy Management Specialist,"science,healthcare,wellness,education,lifestyle"
Qianli Ma,Research Scientist,"AI,technology,arts,education,science"
Lily Mcelwee,"Deputy Director and Fellow, Freeman Chair in China Studies","leadership,innovation,education,business,AI"
Alan Kaplan,Senior Lecturer,"technology,education,innovation,leadership,business"
Laura Musselwhite,Gastrointestinal Oncologist,"healthcare,wellness,leadership,education,social impact"
Paul Bergin,Professor of Economics,"social impact,business,education,AI,innovation"
Matthias Tauber,"Managing Director & Senior Partner; Chair, EMESA","leadership,business,innovation,technology,healthcare"
Henry He YAN,"Chair Professor, Director of HKUST-Kaisa Joint Research Institute, Associate Director of HKUST Energy Institute","technology,innovation,AI,science,wellness"
Xinyue Huang,Lecturer in Chinese Language,"education,culture,arts,leadership,entertainment"
Zeynep Sumer,Research Scientist,"AI,science,innovation,technology,arts"
Maria Micaela Sviatschi,,"social impact,leadership,education,culture,AI"
Tanner Anderson,"Director, Facilities and Procurement","healthcare,wellness,business,innovation,technology"
Elizabeth Moore,Researcher and Postdoctoral Associate,"healthcare,science,wellness,AI,innovation"
Sam Udani,Law Publisher and CEO,"leadership,education,AI,business,lifestyle"
Alvaro Pires,"Partner, Senior Partner at Bain & Company","AI,business,innovation,leadership,education"
Chiho Song,Researcher,"science,technology,education,leadership,innovation"
jenny kaminsky,Executive Assistant,"leadership,business,AI,wellness,innovation"
Katrina Reichert,UC Davis Public Service Legal Fellow,"education,leadership,social impact,healthcare,arts"
George-Levi Gayle,,"social impact,education,lifestyle,technology,innovation"
David W. Zack,"Vice President, Operations & Program Excellence","leadership,business,technology,innovation,AI"
Lihua Yuan,Partner Software Engineering Manager,"technology,innovation,business,education,leadership"
Pierre Pinson,Chair of Data-centric Design Engineering at Imperial College London,"AI,technology,innovation,education,science"
Ben Gallagher,Investor,"innovation,AI,business,technology,education"
Hiroyuki Watanabe,Director (Chief Technology Officer),"technology,innovation,science,arts,leadership"
Mi Zhou,"Postdoctoral Research Associate, Center for Policy Research on Energy and the Environment (C-PREE)","science,social impact,technology,lifestyle,leadership"
Rand Wentworth,Adjunct Lecturer in Public Policy,"leadership,social impact,education,wellness,science"
Lincoln Bressor,Associate Actuary,"healthcare,arts,wellness,lifestyle,AI"
Zac Kenton,Research Scientist in AI safety,"AI,science,education,arts,innovation"
Joseph Echevarria,Board member,"leadership,business,education,innovation,healthcare"
Boris Babenko,Machine Learning / Computer Vision Engineer at Google,"AI,education,technology,arts,science"
Joy Pojim,Senior Analyst,"healthcare,wellness,business,leadership,innovation"
Lurong Chen,Senior Economist,"technology,innovation,business,education,culture"
Alex Stratoudakis,Managing Director,"business,innovation,leadership,technology,AI"
Everett Cook,Co-Founder & CEO,"innovation,business,technology,leadership,wellness"
Pete Hultman,Partner,"healthcare,innovation,wellness,leadership,business"
Chandrasekar Subramaniam,Department Chair and Associate Professor; BISOM Department Chair; Associate Professor of Management Information Systems,"business,technology,leadership,innovation,education"
H. Craig Heller,Lorry I. Lokey/Business Wire Professor,"wellness,technology,lifestyle,AI,science"
Joe Martinez,Chief Security Officer,"leadership,AI,education,technology,business"
Benjaram Mahipal Reddy,Senior Professor Emeritus,"science,technology,education,leadership,innovation"
Hamza Chaudhry,,"AI,leadership,technology,science,education"
Deborah Wood,PhD Student in Polar Studies,"social impact,lifestyle,science,leadership,arts"
Morteza Mardani,Research Scientist at NVIDIA,"AI,science,arts,technology,education"
Andre Waitsman,"Managing Consultant, Centre of Expertise (CoE), CFO & Risk","leadership,innovation,business,AI,education"
Mary Therese Gorski Findling,Research Associate,"healthcare,wellness,social impact,lifestyle,education"
MaryAnne Gilmartin,Founder and CEO,"leadership,business,innovation,social impact,wellness"
Brandon Haynes,,"AI,technology,education,arts,leadership"
Betsy Feigin Befus,General Counsel,"leadership,healthcare,wellness,lifestyle,education"
Michelangelo Fiorentino,Adjunct Associate Professor of Epidemiology,"science,healthcare,wellness,lifestyle,technology"
Ken Sandilands,"Biologist - Field Coordinator, IISD-ELA","science,lifestyle,leadership,wellness,AI"
Stephen W. Salant,,"innovation,business,social impact,AI,technology"
Yu Xie,Senior Researcher,"AI,science,technology,innovation,arts"
Daniel N. Shaviro,Professor of Taxation,"social impact,lifestyle,education,culture,entertainment"
Thomas Fogarty III,"Assistant Professor, Pediatric Critical Care Medicine","healthcare,AI,education,science,leadership"
Christina Grassi,Physician,"healthcare,wellness,science,education,leadership"
Shannan Ho Sui,Principal Research Scientist,"science,healthcare,wellness,AI,technology"
Hummy Song,,"healthcare,wellness,leadership,business,arts"
Leslie Regan Shade,Professor,"technology,education,arts,innovation,social impact"
Tony Hale,Program Director for Environmental Informatics,"science,technology,lifestyle,leadership,AI"
Yoriko Heianza,Visiting Scientist,"wellness,lifestyle,healthcare,social impact,science"
Lars Hedin,"George M. Moffett Professor of Biology; Chair, Department of Ecology and Evolutionary Biology","science,lifestyle,education,social impact,leadership"
Karen B. Brooks,Senior Fellow,"leadership,culture,education,AI,arts"
Justine Yu,Consultant,"healthcare,wellness,innovation,business,technology"
Diederik Kalff,"Senior Client Partner, Consumer Market EMEA","business,innovation,leadership,culture,education"
Arlan Hamilton,,"innovation,AI,arts,lifestyle,leadership"
Amjad Iraqi,"Associate Fellow, Middle East and North Africa Programme","leadership,education,social impact,culture,technology"
Milan Patel,Researcher,"technology,innovation,education,business,AI"
Lawrence J. Marnett,"Dean Emeritus, Basic Sciences","leadership,wellness,science,healthcare,sports"
Jun Peng,,"AI,innovation,leadership,technology,business"
Eric Askanase,Lecturer in Law and Adjunct Professor,"arts,entertainment,business,education,leadership"
Regine Andersen,Research Professor,"innovation,science,social impact,AI,wellness"
Carmen Messerlian,,"social impact,wellness,science,lifestyle,healthcare"
Jonathan Hostens,,"innovation,healthcare,technology,wellness,business"
Arup Raha,Head of APAC Economics,"education,healthcare,business,leadership,AI"
Tim Berners-Lee,Professor Emeritus,"technology,innovation,education,leadership,science"
Jin Park,Minister of Foreign Affairs,"business,technology,leadership,innovation,education"
Glorian Sorensen,"Research Professor of Social and Behavioral Sciences, Director of the Center for Work, Health, & Well-being","wellness,social impact,healthcare,lifestyle,leadership"
Prachi Bhatt,Pharmaceutical Research and Analytics Manager,"healthcare,technology,innovation,business,social impact"
Justin Ripley,Senior Client Partner,"business,leadership,innovation,healthcare,technology"
Jesús Pérez-Ortega,Associate Research Scientist,"science,AI,arts,technology,education"
Richard Allinson,Partner,"AI,business,innovation,leadership,education"
Christopher Mazza,Managing Director,"business,leadership,innovation,lifestyle,education"
Daniel Caraballo-Rivera,Research Scientist,"AI,science,technology,innovation,education"
Adrien Bilal,Faculty Research Fellow,"social impact,technology,innovation,education,science"
Junghee Bae,Partner at Bain & Company,"business,innovation,technology,leadership,AI"
Nickle LaMoreaux,Senior Vice President and Chief Human Resources Officer,"leadership,AI,innovation,technology,education"
Laxmi Parida,IBM Fellow and Master Inventor,"AI,science,technology,wellness,innovation"
Andrea Ghiselli,Lecturer in International Politics,"education,leadership,culture,AI,social impact"
S. Farokh Atashzar,"Assistant Professor of Electrical, Computer, Mechanical, and Aerospace Engineering","AI,technology,healthcare,arts,education"
Bruce McLaren,Professor,"education,AI,technology,science,innovation"
Elizabeth Bowling,Researcher,"science,healthcare,wellness,technology,innovation"
Niloufar Salehi,Associate Professor,"AI,education,arts,technology,social impact"
Eric A. Hanushek,Professor at Stanford University,"education,innovation,social impact,leadership,technology"
Payal Kadakia,Founder & CEO of ClassPass,"wellness,lifestyle,leadership,innovation,culture"
Stephanie Zhang,Medical Student,"healthcare,education,science,wellness,sports"
Darren Houghton,"Managing Consultant, Agribusiness, EMEA","leadership,business,education,innovation,wellness"
Chris Bruegge,Senior Manager,"business,innovation,leadership,entertainment,social impact"
james heine,Director of Partnerships,"AI,healthcare,technology,innovation,science"
Takashi Murata,,"leadership,business,innovation,AI,education"
Justin Potts,Chief Technology Officer,"technology,innovation,AI,leadership,education"
Jacob Haskin,Premium Service Manager,"business,leadership,entertainment,AI,social impact"
Thomas Andrew Gaziano,"Associate Professor, Department of Health Policy and Management","healthcare,wellness,social impact,leadership,innovation"
Arnold Lau,Research Methodologist,"technology,social impact,science,leadership,lifestyle"
Duck-chul Lee,,"wellness,sports,lifestyle,healthcare,social impact"
Chicheng MA,Associate Professor in Economics,"social impact,education,innovation,business,culture"
Stephen D. Biddle,Adjunct Senior Fellow for Defense Policy,"technology,leadership,AI,education,sports"
Jeremy P Brown,Postdoctoral Research Fellow,"social impact,healthcare,wellness,technology,innovation"
Isaac Gelado,Principal Research Scientist,"education,healthcare,technology,AI,leadership"
Sanjeev Gupta,Senior Fellow Emeritus at the Center for Global Development,"healthcare,social impact,wellness,education,leadership"
Kaitlin C. Beeson,Executive Assistant,"leadership,business,healthcare,education,wellness"
Jeremy Wallace jlw397@cornell.edu,Cornell University,"social impact,culture,leadership,technology,AI"
Si Qin,Principal Research Manager,"AI,technology,innovation,leadership,education"
Matt Leonard,"Analyst - Investment Staff, Energy Transition & Sustainability","technology,innovation,social impact,wellness,science"
David Galvan,Research Scientist,"technology,AI,innovation,science,education"
Tiffany Luck,Partner Technology,"technology,innovation,business,AI,education"
Ari Decter-Frain,Associate,"social impact,technology,entertainment,culture,AI"
Henry Larweh,,"healthcare,wellness,social impact,lifestyle,innovation"
Eric Rubin,Adjunct Professor of Immunology and Infectious Diseases,"healthcare,science,wellness,leadership,sports"
Khatereh Hadi,Researcher at Georgia Institute of Technology,"healthcare,innovation,technology,wellness,AI"
Mark A. Skylar-Scott,,"technology,innovation,science,AI,healthcare"
Benedict Kroll,Associate,"business,education,innovation,leadership,AI"
Song Ge,Researcher,"innovation,technology,AI,science,social impact"
Yukon Huang,Senior Fellow,"innovation,business,social impact,culture,education"
Yongzhi Li,,"AI,education,arts,technology,innovation"
Haneesh Kesari,Associate Professor of Engineering,"science,technology,education,innovation,arts"
Bernhard Bartsch,Director External Relations,"leadership,social impact,business,innovation,AI"
Evgueni Filipov,"Associate Professor, Mechanical Engineering","technology,innovation,AI,science,sports"
Peter Loewen,"Professor, College of Arts & Sciences","leadership,social impact,education,science,culture"
Kathryn Cottingham,Professor in the Arts & Sciences,"science,lifestyle,wellness,education,arts"
Brian McAdoo,"Associate Professor of Geosciences, Director of Undergraduate Studies, ECS","science,social impact,lifestyle,education,wellness"
Robin Avant,Operations & Conference Center Manager SF HQ,"healthcare,leadership,wellness,business,lifestyle"
Nada Hussein,Research Analyst and Project Coordinator,"social impact,leadership,lifestyle,AI,education"
Nana Ahwoi,Consumer and Health Cybersecurity Industry Leader,"technology,healthcare,leadership,innovation,AI"
Daniel Riconda,"Professor, Program Director Genetic Counseling Program","wellness,healthcare,lifestyle,science,education"
Robert Padron,Chief Growth Officer,"leadership,business,innovation,education,culture"
Zhigang Suo,Allen E. and Marilyn M. Puckett Professor of Mechanics and Materials,"science,technology,AI,arts,innovation"
Neil Goble,Senior Client Partner,"business,leadership,innovation,education,arts"
Chip Rotolo,Research Associate,"social impact,lifestyle,culture,education,science"
Matthew Cronin,Project Coordinator II,"leadership,education,social impact,technology,culture"
Tracy Fay Raleigh,Managing Director,"healthcare,leadership,wellness,innovation,lifestyle"
Colleen Fullen,Global Operations Executive,"leadership,innovation,business,entertainment,AI"
Marcus Roll,Assistant Professor of Orthopaedic Surgery,"education,wellness,sports,healthcare,science"
Jack Fagan,,"healthcare,innovation,AI,technology,business"
Anne Esther Goldfeld,Professor in the Department of Immunology and Infectious Diseases,"technology,healthcare,wellness,AI,innovation"
Patrick McNamara,Senior Specialist,"leadership,lifestyle,business,social impact,innovation"
Cooker Storm,,"wellness,sports,lifestyle,healthcare,science"
Michael Heller,Chief Executive Officer,"leadership,innovation,entertainment,arts,business"
Charis Kubrin,"Professor of Criminology, Law and Society","arts,social impact,education,culture,science"
Abby Guy,Program Assistant,"education,leadership,AI,healthcare,social impact"
Anthony Gosselin,"Master's Research - Polytechnique Montréal, MS student","AI,education,technology,innovation,science"
Keshia Pollack Porter,"Bloomberg Centennial Chair, Department of Health Policy and Management, Dean of the Johns Hopkins Bloomberg School of Public Health","healthcare,wellness,social impact,leadership,education"
Isaiah Coleman,"Director, Tulsa Housing Partnership","leadership,business,innovation,wellness,education"
Fabian Kaczmarczyck,,"innovation,technology,AI,science,education"
Travis Hall,Director for State Engagement,"technology,AI,leadership,education,innovation"
Oded Galor,Professor of Economics at Brown University,"social impact,innovation,education,wellness,business"
Paulina Oliva,Research Associate and Professor,"social impact,wellness,healthcare,innovation,lifestyle"
Tammy Feldman,Lecturer of Business Economics and Public Policy,"business,social impact,education,innovation,leadership"
Olga Artsiukh,"Operations Manager, Global Food and Land-Use Coalition","leadership,wellness,technology,AI,business"
Tulio Coppola,Research Software Engineer,"AI,innovation,technology,leadership,education"
Kamal Das,Research Staff Member,"AI,technology,science,education,leadership"
Xian Chiang-Waren,Newsletter Editor,"culture,leadership,entertainment,business,AI"
Srinath Setty,Principal Researcher,"technology,science,leadership,innovation,education"
Elie Hakizumwami,DRC Country Manager,"leadership,education,arts,AI,business"
Sterling Williams-Ceci,PhD Candidate,"AI,technology,innovation,science,education"
Carol Gluck,George Sansom Professor Emerita of History,"leadership,arts,education,culture,social impact"
Aaron Sidford,Associate Professor,"AI,technology,leadership,science,innovation"
Ramesh Raskar,Associate Professor of Media Arts and Sciences,"technology,arts,AI,innovation,education"
Gregory Kausner,Senior Vice President of Global Defense,"leadership,innovation,AI,technology,education"
Jon Feldman,Staff Research Scientist,"AI,innovation,technology,science,education"
Ethan Huleatt,"Research Technician II, Student-Athlete","science,sports,education,healthcare,technology"
Edward Camp,Researcher,"healthcare,innovation,science,lifestyle,wellness"
Shivani Vora,"Data, AI & Cloud Led Business Transformation Leader with Industry and Innovation Distinction","innovation,AI,leadership,technology,business"
Chris Fry,Director of Data Science at Google Cloud,"AI,science,education,technology,leadership"
Raj Chopra,"Senior Vice President & Chief Product Officer, Security","leadership,innovation,business,technology,AI"
Jan Liphardt,Associate Professor of Bioengineering,"science,AI,sports,education,technology"
Sarvjeet Singh,Principal Engineer/Director at Google Research,"AI,leadership,technology,education,arts"
Ben Hutchinson,Trustworthy AI Lead,"AI,leadership,technology,innovation,education"
Daniel S. Hamilton,,"leadership,AI,education,healthcare,culture"
Fabian Neuenschwander,"Managing Director, Real Estate","leadership,innovation,business,arts,AI"
Greg Gerstenhaber,Partner,"business,innovation,education,leadership,technology"
Stephen Cohen,Chief Product Officer,"business,leadership,innovation,education,AI"
Tim Klinger,,"AI,education,technology,science,leadership"
Krish Seetah,"Associate Professor at the Stanford Doerr School of Sustainability, of Oceans, of Anthropology and Senior Fellow at the Woods Institute for the Environment","culture,social impact,lifestyle,arts,technology"
Paul C. Heinen,"Chief Operating Officer, THE MART & Director of Leasing, San Francisco Office","leadership,business,innovation,AI,education"
Erik Meijering,Professor of Biomedical Image Computing,"AI,healthcare,science,arts,technology"
Michael Spence,William R. Berkley Professor in Economics and Business,"innovation,business,technology,social impact,education"
Harishwar Sukhthankar,Managing Director Real Estate - Mumbai,"business,leadership,innovation,education,lifestyle"
Chris Alger,"Senior Client Partner, Global Industrial Practice","business,leadership,innovation,technology,education"
Eric S. Taylor,"Associate Professor of Education, Faculty Research Fellow","education,social impact,leadership,science,innovation"
Ingrid Nembhard,"Fishman Family President's Distinguished Professor, Professor of Health Care Management, Professor of Management (Organizational Behavior)","leadership,healthcare,wellness,lifestyle,innovation"
Karin Forssell,"Senior Lecturer, LDT Program Director","technology,education,innovation,AI,arts"
Jennifer DeVere Brody,"Professor of Theater and Performance Studies and, by courtesy, of African and African American Studies","arts,entertainment,culture,social impact,leadership"
Thabiso Legoete,,"leadership,business,education,innovation,entertainment"
Sara Lowes,Associate Professor of Economics,"social impact,innovation,education,leadership,lifestyle"
Michelle Kim,"Business Development Director, Interim Human Resources","leadership,arts,education,innovation,business"
Nikola Kovachki,Research Scientist at NVIDIA,"science,AI,education,technology,leadership"
Jason Waterman,"Senior Client Partner, Financial Officers Practice","leadership,business,innovation,healthcare,lifestyle"
kevin ha,"Head of Data Science, Genomics","science,AI,technology,healthcare,education"
Amit Dixit,Sr. Managing Director Private Equity - Mumbai,"education,leadership,technology,business,innovation"
Drew Altman,President and CEO,"healthcare,wellness,leadership,innovation,lifestyle"
Chris Young,Financial Analyst,"education,business,leadership,science,AI"
Kuldeep S. Meel,Stephen Fleming Early-Career Associate Professor,"AI,education,technology,arts,science"
Carl St. John,Postdoctoral Associate,"science,sports,social impact,leadership,lifestyle"
Julie Torode,"Director of Strategic Partnerships, Patient and Community Engagement","healthcare,leadership,lifestyle,wellness,innovation"
Viridiana Rios,Instructor,"social impact,leadership,education,innovation,culture"
Jaime Maxwell-Grant,Senior Client Partner,"business,leadership,innovation,education,culture"
Dr. Alex Vines OBE,"Director, Africa Programme; Research Director","leadership,healthcare,social impact,AI,education"
Elizabeth Hunt Brockway,Editorial Visual Director,"arts,leadership,business,social impact,education"
Eli Shechtman,Senior Principal Scientist,"AI,arts,leadership,education,science"
JIA Ning,Associate Professor of Accounting,"business,innovation,leadership,education,wellness"
Karen L. Thornber,"Harry Tuchman Levin Professor in Literature, Professor of East Asian Languages and Civilizations, Harvard College Professor","arts,leadership,education,culture,science"
Olle Persson,Librarian,"education,leadership,science,AI,arts"
Shideh Rezaeifar,Research Scientist,"AI,technology,innovation,arts,science"
Kim Goh,Partner at ClearView Healthcare Partners,"healthcare,innovation,wellness,business,AI"
Luk Lammens,Principal,"leadership,education,arts,business,culture"
Brad Fiedler,Principal,"wellness,social impact,business,innovation,healthcare"
Umut Özek,Senior Economist,"education,social impact,innovation,leadership,business"
Chris Blaine,Managing Director & Partner,"business,innovation,leadership,technology,entertainment"
Zoran Obradovic,Laura H. Carnell Professor of Data Analytics and Director,"AI,healthcare,science,technology,leadership"
Alberto Merchante Gonzalez,Coordinator of AI Policy at the Spanish Ministry of Economic Affairs and Digital Transformation,"AI,leadership,education,innovation,technology"
Mohammad-javad Darvishi-bayazi Darvishi Bayazi,PhD Student,"AI,education,science,technology,innovation"
Annette Peters,Adjunct Professor of Environmental Health,"wellness,healthcare,social impact,lifestyle,science"
Theodore Maris,Associate,"business,healthcare,innovation,education,AI"
Richard Schmalensee,"Howard W. Johnson Professor of Management, Emeritus and Professor of Economics, Emeritus","leadership,innovation,social impact,business,education"
Tessa Han,"PhD Student, Bioinformatics and Integrative Genomics Program","AI,healthcare,science,technology,education"
Justin Liu,Senior Associate,"business,innovation,leadership,AI,arts"
Xiusi Li,Master's Researcher,"AI,education,arts,leadership,entertainment"
Layane Alhorr,Associate at Cornerstone,"social impact,innovation,business,education,lifestyle"
Grace Ma,Investor,"innovation,business,AI,education,technology"
Dongni Wan,Professor,"leadership,education,innovation,business,technology"
Mark Crane,Investment Team,"innovation,sports,business,leadership,AI"
Jesse Schreger,Research Associate,"social impact,innovation,education,science,lifestyle"
Salil P. Vadhan,Vicky Joseph Professor of Computer Science and Applied Mathematics,"AI,science,technology,education,innovation"
Mitchell B. Weiss,,"leadership,innovation,AI,business,education"
Leslie A. Perlow,Konosuke Matsushita Professor of Leadership,"leadership,lifestyle,social impact,wellness,business"
Helena Schweiger,"Associate Director, Lead Research Economist","social impact,leadership,innovation,business,education"
Aditya Soni,Research Fellow,"technology,AI,innovation,leadership,science"
Kayla Blackwell,Housing Policy Analyst,"healthcare,leadership,social impact,education,wellness"
Ivan Grega,Research Intern,"AI,science,innovation,education,technology"
Isabel Madzorera,Assistant Professor,"wellness,lifestyle,social impact,education,healthcare"
Xiaobo Fan,Expert in Hardware and Architecture,"AI,innovation,technology,arts,entertainment"
Christina Kadelski,Associate Principal,"healthcare,leadership,wellness,education,arts"
Jiah Kim,IT Director,"leadership,technology,AI,innovation,education"
Vladimir (Vova) Kim,Senior Research Scientist,"AI,arts,science,education,technology"
Andrew Miller,"Group Leader, Division of Freight, Transit, & Heavy Vehicle Safety","leadership,technology,AI,social impact,education"
Alex Glosenberg,"Associate Professor of Management, College of Business Administration","business,leadership,social impact,education,lifestyle"
Calvin Phoon,Chief Operations and People Officer,"leadership,healthcare,AI,business,innovation"
Marina Otero,Lecturer in Architecture,"lifestyle,technology,innovation,social impact,arts"
Sachin  Jaitly,Managing Partner,"innovation,business,technology,AI,arts"
Amir Ali,Lecturer on Law at Harvard University,"education,healthcare,leadership,AI,arts"
Liz Hesterberg,"Deputy Director, Corporate Partnerships","leadership,business,education,wellness,healthcare"
Joseph Ghazal,Chief Investment Officer,"leadership,business,AI,innovation,education"
Corina Mommaerts,Faculty Research Fellow,"social impact,healthcare,wellness,education,lifestyle"
Laura Zaremba,Principal,"healthcare,wellness,innovation,leadership,technology"
Stuart Pimm,Doris Duke Professor of Conservation Ecology,"science,social impact,technology,education,leadership"
Michael Dikovsky,Researcher at Google,"AI,technology,science,business,innovation"
Onaiza Ahmed,"Managing Director, Private Equity","business,leadership,AI,wellness,innovation"
John E. Waldron,President and Chief Operating Officer,"leadership,business,education,wellness,AI"
Dr Helen Harwatt,Senior Research Fellow,"wellness,lifestyle,social impact,science,leadership"
Matt McAviney,MD Partner Healthcare US Growth Seed/Early,"healthcare,innovation,wellness,business,education"
Michael Baird,Postdoctoral Scholar,"science,innovation,technology,education,leadership"
Benjamin Olsen,"Head of Responsible AI & Data Compliance, Windows","AI,technology,leadership,innovation,business"
Ebenezer Dadzie,"Senior Director, Information Systems","technology,AI,leadership,innovation,education"
